,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,177656000.0,197853000.0,218127000.0
Capital Surplus,85125000.0,,
Total Liab,1115945000.0,433169000.0,391660000.0
Total Stockholder Equity,88511000.0,141396000.0,144405000.0
Minority Interest,66235000.0,3231000.0,3611000.0
Deferred Long Term Liab,3400000.0,,
Other Current Liab,78061000.0,2841000.0,18668000.0
Total Assets,1270691000.0,577796000.0,539676000.0
Common Stock,2576000.0,183910000.0,182809000.0
Retained Earnings,854000.0,-42381000.0,-38237000.0
Other Liab,400363000.0,15905000.0,18352000.0
Good Will,224275000.0,224275000.0,224275000.0
Treasury Stock,-44000.0,-133000.0,-167000.0
Other Assets,435857000.0,805000.0,894000.0
Cash,236184000.0,24700000.0,21866000.0
Total Current Liabilities,130778000.0,29562000.0,35919000.0
Deferred Long Term Asset Charges,431699000.0,,
Short Long Term Debt,6000000.0,2500000.0,2500000.0
Other Stockholder Equity,-44000.0,-133000.0,-167000.0
Property Plant Equipment,101305000.0,94311000.0,42578000.0
Total Current Assets,331598000.0,60552000.0,53802000.0
Net Tangible Assets,-313420000.0,-280732000.0,-297997000.0
Net Receivables,51218000.0,18830000.0,15991000.0
Long Term Debt,528614000.0,334783000.0,335550000.0
Inventory,33301000.0,14202000.0,14308000.0
Accounts Payable,8171000.0,7478000.0,3604000.0
