,2021-04-30,2020-04-30,2019-04-30
Capital Surplus,1410325000.0,110333000.0,58633000.0
Total Liab,135302000.0,93798000.0,114154000.0
Total Stockholder Equity,1061175000.0,-182697000.0,-165434000.0
Other Current Liab,72263000.0,53537000.0,80197000.0
Total Assets,1196477000.0,305108000.0,267485000.0
Common Stock,102000.0,183000.0,118000.0
Retained Earnings,-349333000.0,-293637000.0,-224259000.0
Other Liab,10817000.0,7112000.0,11954000.0
Good Will,625000.0,625000.0,625000.0
Treasury Stock,81000.0,424000.0,74000.0
Other Assets,16582000.0,13421591.0,2225000.0
Cash,115355000.0,33104000.0,98607000.0
Total Current Liabilities,124485000.0,81039000.0,102200000.0
Other Stockholder Equity,81000.0,424000.0,74000.0
Property Plant Equipment,6133000.0,8731409.0,7303000.0
Total Current Assets,1173137000.0,281205000.0,223827000.0
Net Tangible Assets,1060550000.0,-183722000.0,-166059000.0
Short Term Investments,978020000.0,211874000.0,57910000.0
Net Receivables,65460000.0,,
Accounts Payable,12075000.0,4726000.0,5660000.0
Intangible Assets,,400000.0,
Deferred Long Term Liab,,1200000.0,900000.0
Other Current Assets,,31727000.0,64286000.0
Long Term Investments,,725000.0,33505000.0
