,2020-12-31,2019-12-31,2018-12-31
Capital Surplus,450248000.0,108892000.0,
Total Liab,47402000.0,20191000.0,24953000.0
Total Stockholder Equity,235019000.0,18665000.0,-78540000.0
Other Current Liab,3696000.0,1958000.0,4282000.0
Total Assets,282421000.0,38856000.0,26029000.0
Common Stock,37000.0,29000.0,1000.0
Other Current Assets,6719000.0,7004000.0,1789000.0
Retained Earnings,-215266000.0,-90256000.0,-78541000.0
Other Liab,46000.0,82000.0,
Other Assets,3910000.0,116000.0,79000.0
Cash,262728000.0,25628000.0,22540000.0
Total Current Liabilities,47356000.0,10481000.0,10212000.0
Property Plant Equipment,5292000.0,3648000.0,1173000.0
Total Current Assets,273219000.0,35092000.0,24777000.0
Net Tangible Assets,235019000.0,18665000.0,-78540000.0
Accounts Payable,22039000.0,2944000.0,2998000.0
Long Term Debt,,9628000.0,14741000.0
Short Long Term Debt,,,875000.0
