Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
Capital Surplus,450248000.0,108892000.0,
Total Liab,47402000.0,20191000.0,24953000.0
Total Stockholder Equity,235019000.0,18665000.0,-78540000.0
Other Current Liab,3696000.0,1958000.0,4282000.0
Total Assets,282421000.0,38856000.0,26029000.0
Common Stock,37000.0,29000.0,1000.0
Other Current Assets,6719000.0,7004000.0,1789000.0
Retained Earnings,-215266000.0,-90256000.0,-78541000.0
Other Liab,46000.0,82000.0,
Other Assets,3910000.0,116000.0,79000.0
Cash,262728000.0,25628000.0,22540000.0
Total Current Liabilities,47356000.0,10481000.0,10212000.0
Property Plant Equipment,5292000.0,3648000.0,1173000.0
Total Current Assets,273219000.0,35092000.0,24777000.0
Net Tangible Assets,235019000.0,18665000.0,-78540000.0
Accounts Payable,22039000.0,2944000.0,2998000.0
Long Term Debt,,9628000.0,14741000.0
Short Long Term Debt,,,875000.0
Change To Liabilities,10729000.0,-54000.0,1851000.0
Total Cashflows From Investing Activities,-3246000.0,-3223000.0,-867000.0
Net Borrowings,-10000000.0,6063000.0,14920000.0
Total Cash From Financing Activities,296578000.0,31168000.0,33330000.0
Change To Operating Activities,4540000.0,1284000.0,565000.0
Issuance Of Stock,248109000.0,197000.0,192000.0
Net Income,-122461000.0,-23605000.0,-27780000.0
Change In Cash,237100000.0,6008000.0,15515000.0
Repurchase Of Stock,-14743000.0,-14743000.0,-14743000.0
Total Cash From Operating Activities,-56232000.0,-21937000.0,-16948000.0
Depreciation,1609000.0,711000.0,404000.0
Other Cashflows From Financing Activities,-2194000.0,-2194000.0,-2194000.0
Change To Netincome,48793000.0,-2412000.0,6725000.0
Capital Expenditures,-3246000.0,-3223000.0,-867000.0
