,2020-12-31,2019-12-31,2018-12-31
Capital Surplus,2004841000.0,,
Total Liab,496954000.0,262907000.0,170610000.0
Total Stockholder Equity,1227102000.0,-573852000.0,-296866000.0
Other Current Liab,55097000.0,33915000.0,13413000.0
Total Assets,1724056000.0,563387000.0,392844000.0
Common Stock,132000.0,8000.0,4000.0
Other Current Assets,34626000.0,2153000.0,1953000.0
Retained Earnings,-777871000.0,-573860000.0,-296870000.0
Other Liab,2151000.0,3073000.0,2270000.0
Good Will,78172000.0,78172000.0,78172000.0
Other Assets,15776000.0,12057000.0,5573000.0
Cash,1056213000.0,217734000.0,161656000.0
Total Current Liabilities,482710000.0,259834000.0,152295000.0
Property Plant Equipment,32229000.0,7828000.0,7673000.0
Total Current Assets,1597879000.0,465330000.0,297481000.0
Net Tangible Assets,1148930000.0,-652024000.0,-378983000.0
Net Receivables,60576000.0,30848000.0,13207000.0
Inventory,423647000.0,205746000.0,115551000.0
Accounts Payable,32925000.0,18987000.0,14824000.0
Deferred Long Term Liab,,2400000.0,
Intangible Assets,,,3945000.0
Short Long Term Debt,,,8386000.0
Long Term Debt,,,16045000.0
