,Unnamed: 0,2020-12-31,2019-12-31
0,Intangible Assets,1114200000.0,1153600000.0
1,Capital Surplus,10300000.0,8000000.0
2,Total Liab,2397900000.0,2439100000.0
3,Total Stockholder Equity,209200000.0,164000000.0
4,Deferred Long Term Liab,1000000.0,1600000.0
5,Other Current Liab,37000000.0,28900000.0
6,Total Assets,2607100000.0,2603100000.0
7,Other Current Assets,13700000.0,10200000.0
8,Retained Earnings,203000000.0,159900000.0
9,Other Liab,879000000.0,1148700000.0
10,Good Will,920300000.0,915100000.0
11,Treasury Stock,-4100000.0,-3900000.0
12,Other Assets,5900000.0,8700000.0
13,Cash,114900000.0,47200000.0
14,Total Current Liabilities,218600000.0,140400000.0
15,Short Long Term Debt,7300000.0,700000.0
16,Other Stockholder Equity,-400000.0,-2700000.0
17,Property Plant Equipment,142300000.0,139900000.0
18,Total Current Assets,424400000.0,385800000.0
19,Net Tangible Assets,-1825300000.0,-1904700000.0
20,Net Receivables,140200000.0,184900000.0
21,Long Term Debt,1292600000.0,1147800000.0
22,Inventory,145300000.0,137100000.0
23,Accounts Payable,83300000.0,60800000.0
0,Change To Liabilities,69300000.0,30400000.0
1,Total Cashflows From Investing Activities,-13000000.0,4000000.0
2,Net Borrowings,146500000.0,-64700000.0
3,Total Cash From Financing Activities,-135100000.0,-65100000.0
4,Change To Operating Activities,-13000000.0,9700000.0
5,Issuance Of Stock,100000.0,1300000.0
6,Net Income,43300000.0,8500000.0
7,Change In Cash,68100000.0,32900000.0
8,Repurchase Of Stock,-2500000.0,-1000000.0
9,Effect Of Exchange Rate,2400000.0,2400000.0
10,Total Cash From Operating Activities,213800000.0,94000000.0
11,Depreciation,62800000.0,64000000.0
12,Other Cashflows From Investing Activities,2100000.0,2200000.0
13,Dividends Paid,-275200000.0,-200000.0
14,Change To Inventory,-4700000.0,5100000.0
15,Change To Account Receivables,47100000.0,2200000.0
16,Other Cashflows From Financing Activities,-4000000.0,-500000.0
17,Change To Netincome,3600000.0,-31200000.0
18,Capital Expenditures,-14200000.0,-25000000.0
