,2020-12-31,2019-12-31
Intangible Assets,1114200000.0,1153600000.0
Capital Surplus,10300000.0,8000000.0
Total Liab,2397900000.0,2439100000.0
Total Stockholder Equity,209200000.0,164000000.0
Deferred Long Term Liab,1000000.0,1600000.0
Other Current Liab,37000000.0,28900000.0
Total Assets,2607100000.0,2603100000.0
Other Current Assets,13700000.0,10200000.0
Retained Earnings,203000000.0,159900000.0
Other Liab,879000000.0,1148700000.0
Good Will,920300000.0,915100000.0
Treasury Stock,-4100000.0,-3900000.0
Other Assets,5900000.0,8700000.0
Cash,114900000.0,47200000.0
Total Current Liabilities,218600000.0,140400000.0
Short Long Term Debt,7300000.0,700000.0
Other Stockholder Equity,-400000.0,-2700000.0
Property Plant Equipment,142300000.0,139900000.0
Total Current Assets,424400000.0,385800000.0
Net Tangible Assets,-1825300000.0,-1904700000.0
Net Receivables,140200000.0,184900000.0
Long Term Debt,1292600000.0,1147800000.0
Inventory,145300000.0,137100000.0
Accounts Payable,83300000.0,60800000.0
