,2021-01-30,2020-02-01,2019-02-02
Intangible Assets,1025714000.0,1026553000.0,1172006000.0
Capital Surplus,2092110000.0,,
Total Liab,4020437000.0,5594057000.0,4286470000.0
Total Stockholder Equity,2068848000.0,569391000.0,637909000.0
Minority Interest,-13583000.0,-8330000.0,
Other Current Liab,20372000.0,27663000.0,26408000.0
Total Assets,6075702000.0,6155118000.0,4924379000.0
Common Stock,264000.0,1358130000.0,1347622000.0
Other Current Assets,39813000.0,20882000.0,27274000.0
Retained Earnings,-22251000.0,-780466000.0,-707518000.0
Other Liab,403838000.0,353886000.0,545581000.0
Good Will,2179310000.0,2179310000.0,2176290000.0
Treasury Stock,-1275000.0,-8273000.0,-2195000.0
Other Assets,137474000.0,122390000.0,130928000.0
Cash,111402000.0,148785000.0,180649000.0
Total Current Liabilities,875307000.0,841941000.0,543470000.0
Other Stockholder Equity,-1275000.0,-8273000.0,-2195000.0
Property Plant Equipment,1955655000.0,2115860000.0,683547000.0
Total Current Assets,777549000.0,711005000.0,761608000.0
Net Tangible Assets,-1136176000.0,-2636472000.0,-2710387000.0
Net Receivables,47627000.0,37516000.0,34779000.0
Long Term Debt,1646281000.0,3228447000.0,3197419000.0
Inventory,538675000.0,478968000.0,470144000.0
Accounts Payable,286985000.0,240803000.0,233632000.0
Short Long Term Debt,,25250000.0,28354000.0
