,2020-12-31,2019-12-31,2018-12-31
Total Liab,87267000.0,22222000.0,12141000.0
Total Stockholder Equity,-405473000.0,-219370000.0,-74111000.0
Other Current Liab,50001000.0,8867000.0,513000.0
Total Assets,346585000.0,96544000.0,119255000.0
Common Stock,6000.0,6000.0,6000.0
Other Current Assets,1536000.0,500000.0,3746000.0
Retained Earnings,-405178000.0,-218718000.0,-73677000.0
Other Liab,2402000.0,348000.0,857000.0
Treasury Stock,-301000.0,-658000.0,-440000.0
Other Assets,4986000.0,3787000.0,2701000.0
Cash,310815000.0,63610000.0,98814000.0
Total Current Liabilities,81098000.0,17295000.0,11284000.0
Other Stockholder Equity,-301000.0,-658000.0,-440000.0
Property Plant Equipment,22116000.0,22283000.0,12601000.0
Total Current Assets,319483000.0,70474000.0,103953000.0
Net Tangible Assets,-405473000.0,-219370000.0,-74111000.0
Net Receivables,4852000.0,3850000.0,20000.0
Accounts Payable,4542000.0,247000.0,108000.0
Minority Interest,,-44000.0,-11000.0
Short Term Investments,,,238000.0
