,2020-09-26,2019-09-28,2018-09-29,2017-09-30
Investments,5335000000.0,58093000000.0,30845000000.0,-33542000000.0
Change To Liabilities,-1981000000.0,-2548000000.0,9172000000.0,8373000000.0
Total Cashflows From Investing Activities,-4289000000.0,45896000000.0,16066000000.0,-46446000000.0
Net Borrowings,2499000000.0,-7819000000.0,432000000.0,29014000000.0
Total Cash From Financing Activities,-86820000000.0,-90976000000.0,-87876000000.0,-17974000000.0
Change To Operating Activities,881000000.0,-896000000.0,30016000000.0,-8480000000.0
Issuance Of Stock,880000000.0,781000000.0,669000000.0,555000000.0
Net Income,57411000000.0,55256000000.0,59531000000.0,48351000000.0
Change In Cash,-10435000000.0,24311000000.0,5624000000.0,-195000000.0
Repurchase Of Stock,-75992000000.0,-69714000000.0,-75265000000.0,-34774000000.0
Total Cash From Operating Activities,80674000000.0,69391000000.0,77434000000.0,64225000000.0
Depreciation,11056000000.0,12547000000.0,10903000000.0,10157000000.0
Other Cashflows From Investing Activities,-791000000.0,-1078000000.0,-745000000.0,-124000000.0
Dividends Paid,-14081000000.0,-14119000000.0,-13712000000.0,-12769000000.0
Change To Inventory,-127000000.0,-289000000.0,828000000.0,-2723000000.0
Change To Account Receivables,6917000000.0,245000000.0,-5322000000.0,-2093000000.0
Other Cashflows From Financing Activities,-126000000.0,-105000000.0,-105000000.0,-105000000.0
Change To Netincome,6517000000.0,5076000000.0,-27694000000.0,10640000000.0
Capital Expenditures,-7309000000.0,-10495000000.0,-13313000000.0,-12451000000.0
