,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,688726000.0,782783000.0,
Capital Surplus,399169000.0,,
Total Liab,709641000.0,742151000.0,329490000.0
Total Stockholder Equity,380416000.0,860144000.0,-186653000.0
Minority Interest,1018739000.0,,
Other Current Liab,8746000.0,17912000.0,4538000.0
Total Assets,2108796000.0,1602295000.0,142837000.0
Common Stock,32000.0,860161000.0,2435000.0
Retained Earnings,-18802000.0,,-189102000.0
Other Liab,185767000.0,340853000.0,281354000.0
Good Will,386553000.0,386553000.0,
Treasury Stock,17000.0,-17000.0,14000.0
Other Assets,624342000.0,282851000.0,77027000.0
Cash,144234000.0,12276000.0,505000.0
Total Current Liabilities,127371000.0,113065000.0,47984000.0
Short Long Term Debt,4170000.0,3000000.0,4856000.0
Other Stockholder Equity,17000.0,-17000.0,14000.0
Property Plant Equipment,17353000.0,6339000.0,11782000.0
Total Current Assets,391822000.0,143769000.0,54028000.0
Net Tangible Assets,-694863000.0,-309192000.0,-186653000.0
Net Receivables,218394000.0,125539000.0,48540000.0
Long Term Debt,396400000.0,288233000.0,
Accounts Payable,8733000.0,13582000.0,10534000.0
