Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,186300000.0,209200000.0,230700000.0
Capital Surplus,738300000.0,,
Total Liab,1109300000.0,773900000.0,654300000.0
Total Stockholder Equity,459600000.0,-32900000.0,41400000.0
Minority Interest,210400000.0,,
Deferred Long Term Liab,30200000.0,26400000.0,36000000.0
Other Current Liab,30000000.0,53500000.0,36400000.0
Total Assets,1779300000.0,784000000.0,738700000.0
Other Current Assets,1000000.0,2200000.0,500000.0
Retained Earnings,-278700000.0,-182400000.0,-113300000.0
Other Liab,4500000.0,8900000.0,7800000.0
Good Will,477000000.0,421300000.0,391800000.0
Other Assets,30800000.0,31700000.0,37400000.0
Cash,927800000.0,3700000.0,4800000.0
Total Current Liabilities,99400000.0,129900000.0,97800000.0
Short Long Term Debt,900000.0,5300000.0,4800000.0
Property Plant Equipment,51700000.0,15400000.0,8600000.0
Total Current Assets,1033500000.0,106400000.0,70200000.0
Net Tangible Assets,-203700000.0,-663400000.0,-581100000.0
Net Receivables,94200000.0,85900000.0,56000000.0
Long Term Debt,1005400000.0,635100000.0,548700000.0
Inventory,1500000.0,8500000.0,5100000.0
Accounts Payable,60600000.0,58100000.0,44200000.0
Common Stock,,149500000.0,154700000.0
Change To Liabilities,-800000.0,13400000.0,11900000.0
Total Cashflows From Investing Activities,-102100000.0,-98800000.0,-41400000.0
Net Borrowings,475400000.0,85800000.0,14700000.0
Total Cash From Financing Activities,1002800000.0,71000000.0,11300000.0
Change To Operating Activities,-6500000.0,3300000.0,15400000.0
Issuance Of Stock,566300000.0,566300000.0,566300000.0
Net Income,-18400000.0,-56600000.0,-55400000.0
Change In Cash,924100000.0,-1100000.0,-4600000.0
Repurchase Of Stock,-4400000.0,-200000.0,-200000.0
Total Cash From Operating Activities,23400000.0,26700000.0,25500000.0
Depreciation,68500000.0,52600000.0,56500000.0
Dividends Paid,-900000.0,-8500000.0,-8500000.0
Change To Inventory,1200000.0,-1700000.0,-1800000.0
Change To Account Receivables,-19900000.0,-21000000.0,-16600000.0
Other Cashflows From Financing Activities,-33600000.0,-6100000.0,-3200000.0
Change To Netincome,-21800000.0,22700000.0,-2500000.0
Capital Expenditures,-19300000.0,-8200000.0,-1600000.0
