,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,202878000.0,235099000.0,252171000.0
Capital Surplus,903116000.0,568756000.0,565372000.0
Total Liab,262672000.0,400930000.0,320290000.0
Total Stockholder Equity,815481000.0,503878000.0,533094000.0
Deferred Long Term Liab,27870000.0,16234000.0,8461000.0
Other Current Liab,161156000.0,120908000.0,86367000.0
Total Assets,1078153000.0,904808000.0,853384000.0
Common Stock,117000.0,103000.0,103000.0
Other Current Assets,11072000.0,8686000.0,3448000.0
Retained Earnings,-87752000.0,-64981000.0,-32381000.0
Other Liab,62975000.0,48092000.0,41022000.0
Good Will,541480000.0,539818000.0,501145000.0
Other Assets,32129000.0,18833000.0,10551000.0
Cash,194868000.0,32433000.0,39240000.0
Total Current Liabilities,199697000.0,151519000.0,107519000.0
Property Plant Equipment,12755000.0,12477000.0,9228000.0
Total Current Assets,288911000.0,98581000.0,80289000.0
Net Tangible Assets,71123000.0,-271039000.0,-220222000.0
Net Receivables,69688000.0,46527000.0,30919000.0
Accounts Payable,6967000.0,3684000.0,2343000.0
Long Term Debt,,201319000.0,171749000.0
