,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,57459000.0,62034000.0,9104000.0
Capital Surplus,2838057000.0,226173000.0,173214000.0
Total Liab,634082000.0,368949000.0,273174000.0
Total Stockholder Equity,2037143000.0,-292648000.0,-283987000.0
Deferred Long Term Liab,4400000.0,,
Other Current Liab,360238000.0,259359000.0,195015000.0
Total Assets,2671225000.0,762860000.0,589301000.0
Common Stock,2000.0,1000.0,1000.0
Other Current Assets,22396000.0,9418000.0,13898000.0
Retained Earnings,-797498000.0,-515190000.0,-352000000.0
Other Liab,32328000.0,32421000.0,19438000.0
Good Will,286251000.0,218305000.0,45407000.0
Treasury Stock,-3418000.0,-3632000.0,-105202000.0
Other Assets,47702000.0,36128000.0,28298000.0
Cash,1272578000.0,129959000.0,258731000.0
Total Current Liabilities,503222000.0,336528000.0,253736000.0
Other Stockholder Equity,-3418000.0,-3632000.0,-3477000.0
Property Plant Equipment,199153000.0,78976000.0,67866000.0
Total Current Assets,2080660000.0,367417000.0,438626000.0
Net Tangible Assets,1693433000.0,-572987000.0,-338498000.0
Short Term Investments,479406000.0,,
Net Receivables,274255000.0,204898000.0,152481000.0
Accounts Payable,11303000.0,10706000.0,9336000.0
