,2020-12-31,2019-12-31,2018-12-31
Capital Surplus,2329406000.0,444440000.0,35957000.0
Total Liab,713293000.0,20122000.0,16528000.0
Total Stockholder Equity,351772000.0,148692000.0,-214345000.0
Minority Interest,1704000.0,1710000.0,1690000.0
Other Current Liab,655000.0,873000.0,1455000.0
Total Assets,1066769000.0,172384000.0,211214000.0
Common Stock,36000.0,24000.0,1000.0
Retained Earnings,-1977639000.0,-295862000.0,-246083000.0
Other Liab,689699000.0,436000.0,1080000.0
Treasury Stock,-31000.0,90000.0,-4220000.0
Other Assets,2193000.0,2774000.0,2593000.0
Cash,113216000.0,22822000.0,31052000.0
Total Current Liabilities,12350000.0,7223000.0,5087000.0
Other Stockholder Equity,-31000.0,90000.0,-31000.0
Property Plant Equipment,55408000.0,38434000.0,28702000.0
Total Current Assets,1009168000.0,131176000.0,179919000.0
Net Tangible Assets,351772000.0,148692000.0,-214345000.0
Short Term Investments,884336000.0,107099000.0,148161000.0
Accounts Payable,5383000.0,2851000.0,757000.0
