,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,74000000.0,103000000.0,
Total Liab,1653000000.0,550000000.0,134000000.0
Total Stockholder Equity,4700000000.0,-1082000000.0,-436000000.0
Deferred Long Term Liab,27000000.0,22000000.0,
Other Current Liab,538000000.0,215000000.0,27000000.0
Total Assets,6353000000.0,1732000000.0,683000000.0
Common Stock,6313000000.0,70000000.0,
Other Current Assets,162000000.0,54000000.0,41000000.0
Retained Earnings,-1613000000.0,-1152000000.0,-485000000.0
Other Liab,13000000.0,1000000.0,24000000.0
Good Will,316000000.0,306000000.0,
Other Assets,33000000.0,58000000.0,7000000.0
Cash,4345000000.0,257000000.0,215000000.0
Total Current Liabilities,1402000000.0,382000000.0,110000000.0
Property Plant Equipment,413000000.0,267000000.0,21000000.0
Total Current Assets,5517000000.0,998000000.0,569000000.0
Net Tangible Assets,4310000000.0,-1491000000.0,-436000000.0
Short Term Investments,514000000.0,508000000.0,255000000.0
Net Receivables,301000000.0,87000000.0,19000000.0
Accounts Payable,80000000.0,20000000.0,35000000.0
Capital Surplus,,,50000000.0
Treasury Stock,,,-1000000.0
Other Stockholder Equity,,,-1000000.0
Long Term Investments,,,86000000.0
