,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,506900000.0,528500000.0,406000000.0
Total Liab,628300000.0,434800000.0,317700000.0
Total Stockholder Equity,-71100000.0,-63300000.0,284000000.0
Other Current Liab,110600000.0,64400000.0,1400000.0
Total Assets,1522300000.0,1392400000.0,601700000.0
Common Stock,10900000.0,4200000.0,322800000.0
Other Current Assets,4400000.0,22500000.0,
Retained Earnings,-82000000.0,-67500000.0,-38800000.0
Other Liab,41600000.0,47600000.0,40100000.0
Good Will,596700000.0,578800000.0,122500000.0
Other Assets,4100000.0,2300000.0,1600000.0
Cash,72600000.0,27700000.0,20400000.0
Total Current Liabilities,189600000.0,122600000.0,30700000.0
Short Long Term Debt,4200000.0,2800000.0,2600000.0
Property Plant Equipment,25400000.0,19300000.0,7000000.0
Total Current Assets,389200000.0,263500000.0,64600000.0
Net Tangible Assets,-1174700000.0,-1170600000.0,-244500000.0
Net Receivables,298400000.0,206400000.0,40900000.0
Long Term Debt,397100000.0,264600000.0,246900000.0
Accounts Payable,700000.0,3500000.0,1600000.0
