,2020-12-31,2019-12-31
Intangible Assets,60468000.0,71146000.0
Capital Surplus,266435000.0,259085000.0
Total Liab,731091000.0,634822000.0
Total Stockholder Equity,-284730000.0,-232028000.0
Other Current Liab,169050000.0,131514000.0
Total Assets,446361000.0,402794000.0
Common Stock,25000.0,25000.0
Other Current Assets,33208000.0,24329000.0
Retained Earnings,-551190000.0,-491138000.0
Other Liab,394083000.0,360332000.0
Good Will,41540000.0,41540000.0
Other Assets,34115000.0,25744000.0
Cash,106795000.0,123633000.0
Total Current Liabilities,266835000.0,199610000.0
Short Long Term Debt,3041000.0,3041000.0
Property Plant Equipment,16041000.0,18836000.0
Total Current Assets,294197000.0,245528000.0
Net Tangible Assets,-386738000.0,-344714000.0
Net Receivables,144555000.0,93254000.0
Long Term Debt,64665000.0,67143000.0
Accounts Payable,91367000.0,61689000.0
