,2020-10-03,2019-09-28,2018-09-29
Intangible Assets,121186000.0,117724000.0,111646000.0
Total Liab,1573437000.0,1367078000.0,1342109000.0
Total Stockholder Equity,-826999000.0,-887357000.0,-888949000.0
Other Current Liab,15143000.0,12959000.0,4099000.0
Total Assets,746438000.0,479721000.0,453160000.0
Common Stock,157000.0,157000.0,
Retained Earnings,-549093000.0,-607666000.0,-607128000.0
Other Liab,5457000.0,15063000.0,15423000.0
Treasury Stock,-278063000.0,-279848000.0,-281821000.0
Other Assets,9073000.0,1402000.0,1620000.0
Cash,157072000.0,90899000.0,77569000.0
Total Current Liabilities,258196000.0,165522000.0,137165000.0
Deferred Long Term Asset Charges,6583000.0,,
Short Long Term Debt,8341000.0,8341000.0,8341000.0
Other Stockholder Equity,-278063000.0,-279848000.0,-281821000.0
Property Plant Equipment,244046000.0,78506000.0,80262000.0
Total Current Assets,372133000.0,282089000.0,255332000.0
Net Tangible Assets,-948185000.0,-1005081000.0,-1000595000.0
Net Receivables,31481000.0,33872000.0,28703000.0
Long Term Debt,1179550000.0,1186493000.0,1189521000.0
Inventory,148966000.0,149729000.0,143222000.0
Accounts Payable,92372000.0,68347000.0,61596000.0
Long Term Investments,,,4300000.0
