,Unnamed: 0,2021-07-03,2021-04-03,2021-01-02,2021-01-02.1
0,Intangible Assets,92857000.0,92245000.0,92078000.0,92078000.0
1,Capital Surplus,329638000.0,323682000.0,321678000.0,321678000.0
2,Total Liab,479881000.0,411977000.0,448649000.0,448649000.0
3,Total Stockholder Equity,384094000.0,321275000.0,288418000.0,288418000.0
4,Other Current Liab,15928000.0,19774000.0,18316000.0,72573000.0
5,Total Assets,863975000.0,733252000.0,737067000.0,737067000.0
6,Common Stock,874000.0,872000.0,871000.0,871000.0
7,Other Current Assets,7070000.0,6409000.0,,5079000.0
8,Retained Earnings,53010000.0,-3221000.0,-33744000.0,-33744000.0
9,Other Liab,17239000.0,18450000.0,13327000.0,13327000.0
10,Good Will,54293000.0,54293000.0,54293000.0,54293000.0
11,Treasury Stock,572000.0,-58000.0,-387000.0,-387000.0
12,Other Assets,1987000.0,1897000.0,2034000.0,2034000.0
13,Cash,233773000.0,190293000.0,253283000.0,253283000.0
14,Total Current Liabilities,304005000.0,253011000.0,287759000.0,287759000.0
15,Short Long Term Debt,22500000.0,22700000.0,22697000.0,22500000.0
16,Other Stockholder Equity,572000.0,-58000.0,-387000.0,-387000.0
17,Property Plant Equipment,153677000.0,119081000.0,112165000.0,112165000.0
18,Total Current Assets,561161000.0,465736000.0,476497000.0,476497000.0
19,Net Tangible Assets,236944000.0,174737000.0,142047000.0,142047000.0
20,Net Receivables,81893000.0,67051000.0,65417000.0,65417000.0
21,Long Term Debt,99364000.0,105518000.0,111017000.0,110264000.0
22,Inventory,221663000.0,183921000.0,140111000.0,140111000.0
23,Accounts Payable,145683000.0,120044000.0,123621000.0,123621000.0
24,Deferred Long Term Liab,,,972000.0,972000.0
25,Deferred Long Term Asset Charges,,,1062000.0,1062000.0
0,Change To Liabilities,50049000.0,-37514000.0,0.0,57588000.0
1,Total Cashflows From Investing Activities,-14827000.0,-14982000.0,-14982000.0,-6663000.0
2,Net Borrowings,-5673000.0,-5673000.0,-5673000.0,-103797000.0
3,Total Cash From Financing Activities,-3811000.0,-7086000.0,-7086000.0,-102809000.0
4,Change To Operating Activities,1947000.0,-6377000.0,-6377000.0,-3439000.0
5,Issuance Of Stock,1862000.0,287000.0,287000.0,989000.0
6,Net Income,56231000.0,30523000.0,62394000.0,62394000.0
7,Change In Cash,43480000.0,-62990000.0,-62990000.0,18470000.0
8,Effect Of Exchange Rate,-395000.0,-601000.0,-601000.0,614000.0
9,Total Cash From Operating Activities,62513000.0,-40321000.0,-40321000.0,127328000.0
10,Depreciation,7385000.0,7556000.0,7556000.0,7700000.0
11,Change To Inventory,-37561000.0,-43627000.0,-43627000.0,-4891000.0
12,Change To Account Receivables,-14891000.0,-1906000.0,-1906000.0,6117000.0
13,Change To Netincome,3042000.0,9387000.0,9387000.0,-2288000.0
14,Capital Expenditures,-12628000.0,-13266000.0,-13266000.0,-4662000.0
15,Repurchase Of Stock,,-1700000.0,-1700000.0,-1000.0
