,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
0,Intangible Assets,71988000.0,79973000.0,87958000.0
1,Total Liab,379433000.0,37701000.0,47251000.0
2,Total Stockholder Equity,-184123000.0,149906000.0,138282000.0
3,Deferred Long Term Liab,3700000.0,,
4,Total Assets,195310000.0,187607000.0,185533000.0
5,Common Stock,-184123000.0,149906000.0,138282000.0
6,Other Current Assets,155000.0,798000.0,935000.0
7,Good Will,50176000.0,50176000.0,50176000.0
8,Other Assets,4236000.0,,
9,Cash,10073000.0,7082000.0,108000.0
10,Total Current Liabilities,24101000.0,24541000.0,11235000.0
11,Short Long Term Debt,3500000.0,12894000.0,3500000.0
12,Property Plant Equipment,12763000.0,10947000.0,10406000.0
13,Total Current Assets,56147000.0,46511000.0,36993000.0
14,Net Tangible Assets,-306287000.0,19757000.0,148000.0
15,Net Receivables,30798000.0,29797000.0,26008000.0
16,Long Term Debt,355332000.0,13160000.0,36016000.0
17,Inventory,15121000.0,8834000.0,9942000.0
18,Accounts Payable,14634000.0,10383000.0,6188000.0
0,Change To Liabilities,4251000.0,4195000.0,-656000.0
1,Total Cashflows From Investing Activities,-3236000.0,-1719000.0,-1405000.0
2,Net Borrowings,343750000.0,-13500000.0,-8500000.0
3,Total Cash From Financing Activities,-47855000.0,-27489000.0,-19161000.0
4,Change To Operating Activities,5346000.0,-146000.0,307000.0
5,Net Income,33766000.0,25143000.0,8647000.0
6,Change In Cash,2991000.0,6974000.0,-17565000.0
7,Total Cash From Operating Activities,54082000.0,36182000.0,3001000.0
8,Depreciation,9405000.0,9163000.0,8990000.0
9,Dividends Paid,-376046000.0,-13989000.0,-10661000.0
10,Change To Inventory,-6475000.0,-694000.0,-4447000.0
11,Change To Account Receivables,-1001000.0,-1818000.0,-9838000.0
12,Other Cashflows From Financing Activities,-15559000.0,-15559000.0,-15559000.0
13,Change To Netincome,8439000.0,301000.0,-40000.0
14,Capital Expenditures,-3236000.0,-1719000.0,-1405000.0
