,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,71988000.0,79973000.0,87958000.0
Total Liab,379433000.0,37701000.0,47251000.0
Total Stockholder Equity,-184123000.0,149906000.0,138282000.0
Deferred Long Term Liab,3700000.0,,
Total Assets,195310000.0,187607000.0,185533000.0
Common Stock,-184123000.0,149906000.0,138282000.0
Other Current Assets,155000.0,798000.0,935000.0
Good Will,50176000.0,50176000.0,50176000.0
Other Assets,4236000.0,,
Cash,10073000.0,7082000.0,108000.0
Total Current Liabilities,24101000.0,24541000.0,11235000.0
Short Long Term Debt,3500000.0,12894000.0,3500000.0
Property Plant Equipment,12763000.0,10947000.0,10406000.0
Total Current Assets,56147000.0,46511000.0,36993000.0
Net Tangible Assets,-306287000.0,19757000.0,148000.0
Net Receivables,30798000.0,29797000.0,26008000.0
Long Term Debt,355332000.0,13160000.0,36016000.0
Inventory,15121000.0,8834000.0,9942000.0
Accounts Payable,14634000.0,10383000.0,6188000.0
