,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,121710000.0,142365000.0,145138000.0
Capital Surplus,620398000.0,283178000.0,281321000.0
Total Liab,94639000.0,148253000.0,108559000.0
Total Stockholder Equity,416085000.0,318018000.0,292924000.0
Deferred Long Term Liab,1400000.0,,
Other Current Liab,3591000.0,12653000.0,2424000.0
Total Assets,511334000.0,466271000.0,401483000.0
Common Stock,421000.0,419000.0,419000.0
Other Current Assets,10441000.0,1322000.0,591000.0
Retained Earnings,54941000.0,34488000.0,11181000.0
Other Liab,35172000.0,39995000.0,36562000.0
Good Will,227349000.0,227349000.0,174204000.0
Treasury Stock,-259675000.0,-67000.0,3000.0
Other Assets,2233000.0,628000.0,212000.0
Cash,33354000.0,10920000.0,29445000.0
Total Current Liabilities,34020000.0,32010000.0,15255000.0
Deferred Long Term Asset Charges,82000.0,95000.0,111000.0
Other Stockholder Equity,1011000.0,-67000.0,3000.0
Property Plant Equipment,18107000.0,10694000.0,10537000.0
Total Current Assets,141935000.0,85235000.0,71392000.0
Net Tangible Assets,67026000.0,-51696000.0,-26418000.0
Net Receivables,94677000.0,68683000.0,38059000.0
Long Term Debt,22000000.0,72730000.0,53372000.0
Accounts Payable,3495000.0,1143000.0,1183000.0
Short Long Term Debt,,471000.0,280000.0
