,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
0,Intangible Assets,121710000.0,142365000.0,145138000.0
1,Capital Surplus,620398000.0,283178000.0,281321000.0
2,Total Liab,94639000.0,148253000.0,108559000.0
3,Total Stockholder Equity,416085000.0,318018000.0,292924000.0
4,Deferred Long Term Liab,1400000.0,,
5,Other Current Liab,3591000.0,12653000.0,2424000.0
6,Total Assets,511334000.0,466271000.0,401483000.0
7,Common Stock,421000.0,419000.0,419000.0
8,Other Current Assets,10441000.0,1322000.0,591000.0
9,Retained Earnings,54941000.0,34488000.0,11181000.0
10,Other Liab,35172000.0,39995000.0,36562000.0
11,Good Will,227349000.0,227349000.0,174204000.0
12,Treasury Stock,-259675000.0,-67000.0,3000.0
13,Other Assets,2233000.0,628000.0,212000.0
14,Cash,33354000.0,10920000.0,29445000.0
15,Total Current Liabilities,34020000.0,32010000.0,15255000.0
16,Deferred Long Term Asset Charges,82000.0,95000.0,111000.0
17,Other Stockholder Equity,1011000.0,-67000.0,3000.0
18,Property Plant Equipment,18107000.0,10694000.0,10537000.0
19,Total Current Assets,141935000.0,85235000.0,71392000.0
20,Net Tangible Assets,67026000.0,-51696000.0,-26418000.0
21,Net Receivables,94677000.0,68683000.0,38059000.0
22,Long Term Debt,22000000.0,72730000.0,53372000.0
23,Accounts Payable,3495000.0,1143000.0,1183000.0
24,Short Long Term Debt,,471000.0,280000.0
0,Change To Liabilities,2482000.0,-538000.0,-339000.0
1,Total Cashflows From Investing Activities,-9751000.0,-63195000.0,-12968000.0
2,Net Borrowings,-53906000.0,17729000.0,22939000.0
3,Total Cash From Financing Activities,10385000.0,15045000.0,22901000.0
4,Change To Operating Activities,-5467000.0,11106000.0,2165000.0
5,Issuance Of Stock,1204000.0,177000.0,107000.0
6,Net Income,20453000.0,23307000.0,3177000.0
7,Change In Cash,22053000.0,-18694000.0,21915000.0
8,Effect Of Exchange Rate,203000.0,23000.0,-76000.0
9,Total Cash From Operating Activities,21216000.0,29433000.0,12058000.0
10,Depreciation,23195000.0,21413000.0,18626000.0
11,Change To Account Receivables,-30443000.0,-32741000.0,-12972000.0
12,Other Cashflows From Financing Activities,-283063000.0,-2861000.0,-145000.0
13,Change To Netincome,5756000.0,6188000.0,1100000.0
14,Capital Expenditures,-9751000.0,-5943000.0,-1640000.0
