,2020-12-26,2019-12-28,2018-12-29
Intangible Assets,829308000.0,672017000.0,500130000.0
Total Liab,3548790000.0,1586362000.0,869232000.0
Total Stockholder Equity,1104240000.0,288414000.0,437687000.0
Minority Interest,2120000.0,1464000.0,
Deferred Long Term Liab,8661000.0,6721000.0,4763000.0
Other Current Liab,27789000.0,22825000.0,11035000.0
Total Assets,4655150000.0,1876240000.0,1306919000.0
Common Stock,1087712000.0,284788000.0,438787000.0
Other Current Assets,46330000.0,31011000.0,19777000.0
Other Liab,313563000.0,125622000.0,84763000.0
Good Will,1727351000.0,870619000.0,588244000.0
Treasury Stock,16528000.0,3626000.0,-1100000.0
Other Assets,12489000.0,13899000.0,5652000.0
Cash,172611000.0,34935000.0,37530000.0
Total Current Liabilities,305446000.0,158827000.0,90538000.0
Short Long Term Debt,20839000.0,13050000.0,7300000.0
Other Stockholder Equity,16528000.0,3626000.0,-1100000.0
Property Plant Equipment,1712319000.0,134381000.0,92699000.0
Total Current Assets,373683000.0,185324000.0,120194000.0
Net Tangible Assets,-1452419000.0,-1254222000.0,-650687000.0
Net Receivables,87860000.0,78738000.0,43198000.0
Long Term Debt,2095054000.0,1301913000.0,693931000.0
Inventory,43039000.0,26149000.0,8493000.0
Accounts Payable,67802000.0,58917000.0,31268000.0
