,Unnamed: 0,2020-12-26,2019-12-28,2018-12-29
0,Intangible Assets,829308000.0,672017000.0,500130000.0
1,Total Liab,3548790000.0,1586362000.0,869232000.0
2,Total Stockholder Equity,1104240000.0,288414000.0,437687000.0
3,Minority Interest,2120000.0,1464000.0,
4,Deferred Long Term Liab,8661000.0,6721000.0,4763000.0
5,Other Current Liab,27789000.0,22825000.0,11035000.0
6,Total Assets,4655150000.0,1876240000.0,1306919000.0
7,Common Stock,1087712000.0,284788000.0,438787000.0
8,Other Current Assets,46330000.0,31011000.0,19777000.0
9,Other Liab,313563000.0,125622000.0,84763000.0
10,Good Will,1727351000.0,870619000.0,588244000.0
11,Treasury Stock,16528000.0,3626000.0,-1100000.0
12,Other Assets,12489000.0,13899000.0,5652000.0
13,Cash,172611000.0,34935000.0,37530000.0
14,Total Current Liabilities,305446000.0,158827000.0,90538000.0
15,Short Long Term Debt,20839000.0,13050000.0,7300000.0
16,Other Stockholder Equity,16528000.0,3626000.0,-1100000.0
17,Property Plant Equipment,1712319000.0,134381000.0,92699000.0
18,Total Current Assets,373683000.0,185324000.0,120194000.0
19,Net Tangible Assets,-1452419000.0,-1254222000.0,-650687000.0
20,Net Receivables,87860000.0,78738000.0,43198000.0
21,Long Term Debt,2095054000.0,1301913000.0,693931000.0
22,Inventory,43039000.0,26149000.0,8493000.0
23,Accounts Payable,67802000.0,58917000.0,31268000.0
0,Change To Liabilities,1824000.0,16373000.0,-7694000.0
1,Total Cashflows From Investing Activities,-57316000.0,-482423000.0,-17799000.0
2,Net Borrowings,140326000.0,623511000.0,55602000.0
3,Total Cash From Financing Activities,118643000.0,446530000.0,-9493000.0
4,Change To Operating Activities,-37845000.0,-5396000.0,3060000.0
5,Issuance Of Stock,2609000.0,75000.0,1050000.0
6,Net Income,-4199000.0,7731000.0,7062000.0
7,Change In Cash,149781000.0,5359000.0,11653000.0
8,Effect Of Exchange Rate,4468000.0,-120000.0,192000.0
9,Total Cash From Operating Activities,83986000.0,41372000.0,38753000.0
10,Depreciation,62114000.0,24220000.0,19846000.0
11,Other Cashflows From Investing Activities,100174000.0,100174000.0,100174000.0
12,Change To Inventory,-2904000.0,-5452000.0,-269000.0
13,Change To Account Receivables,-11782000.0,-7173000.0,2148000.0
14,Other Cashflows From Financing Activities,-24292000.0,-14056000.0,-13158000.0
15,Change To Netincome,62154000.0,7225000.0,12915000.0
16,Capital Expenditures,-52459000.0,-28230000.0,-22158000.0
17,Dividends Paid,,-163000000.0,-52987000.0
